client_id,declared_income,employment_type,is_banked,base_risk_score,age,city_type,education_level,household_size,total_sessions,avg_duration,pct_conversion,avg_steps,tx_count,tx_avg_amount,tx_std_amount,tx_income_pct,payments_count,on_time_rate,overdue_rate,max_dpd,apps_count,approved_count,avg_decision_score,rejection_rate,risk_index
1,15000000.0,independent,True,0.3246753246753246,33,urban,secondary,5,8,109.6668490766464,0.75,2.5,17,131028.7721015589,46589.735788327635,0.5882352941176471,27,0.07407407407407407,0.0,26,4,4,0.9723126753858984,0.0,0.4052859370818453
2,15000000.0,informal,True,0.4329004329004328,27,urban,technical,1,6,115.94302759159034,0.5,2.0,16,93420.74155161822,45548.87784252994,0.375,18,0.05555555555555555,0.0,19,2,2,0.9447152401775938,0.0,0.4616704963871432
3,15000000.0,formal,True,0.19480519480519473,63,urban,secondary,2,7,200.86231613227105,0.7142857142857143,3.2857142857142856,19,143258.08599193947,68393.64222198968,0.631578947368421,15,0.4,0.0,19,3,3,1.0,0.0,0.26402923507101134
4,15000000.0,formal,True,0.08658008658008656,26,urban,primary,6,3,133.79566535585263,0.6666666666666666,3.6666666666666665,18,143858.38833894988,71246.08668781962,0.6111111111111112,12,0.4166666666666667,0.0,20,1,1,1.0,0.0,0.24642174912100995
5,15000000.0,informal,True,0.4761904761904761,27,urban,secondary,3,5,136.57514359528795,1.0,3.0,14,121782.42864986944,88171.13009873929,0.35714285714285715,6,0.0,0.0,29,1,1,0.7004742460692691,0.0,0.4259571994130838
6,15000000.0,formal,True,0.08658008658008656,46,urban,primary,5,4,135.80918073573548,0.25,3.0,19,174067.77073303395,67880.49309018129,0.5789473684210527,12,0.16666666666666666,0.0,17,1,1,1.0,0.0,0.39564242407463807
7,15000000.0,formal,True,0.09523809523809522,23,rural,secondary,7,9,186.05893087955494,0.6666666666666666,2.888888888888889,22,133762.964865519,60788.84819961328,0.6363636363636364,9,0.2222222222222222,0.0,16,2,2,1.0,0.0,0.322416322914648
8,15000000.0,informal,True,0.4761904761904761,32,urban,secondary,2,2,161.2728687961121,0.0,2.5,16,94568.16379478968,52655.79798455776,0.625,15,0.0,0.06666666666666667,32,2,2,0.9416200260836651,0.0,0.570914426510894
9,15000000.0,informal,True,0.5844155844155843,71,urban,technical,7,6,135.5261462752898,0.16666666666666666,2.3333333333333335,8,102398.98162357125,56418.927251647896,0.625,9,0.0,0.2222222222222222,37,2,2,0.7437166179529311,0.0,0.6066923211797385
10,15000000.0,informal,True,0.5194805194805193,53,urban,primary,1,5,137.60828636920593,0.6,2.2,11,102624.76983911562,57429.11011593085,0.6363636363636364,15,0.13333333333333333,0.0,30,2,2,0.6830719897986212,0.0,0.4328783809972039
11,15000000.0,formal,True,0.29004329004328994,72,rural,primary,2,3,236.520833048735,0.6666666666666666,3.6666666666666665,13,152430.99811594235,72294.27792461425,0.38461538461538464,9,0.1111111111111111,0.0,22,1,1,1.0,0.0,0.3961961186013676
12,15000000.0,informal,True,0.5281385281385281,38,rural,secondary,4,4,113.92259582578001,0.25,2.5,12,101794.24257105628,67214.91883829133,0.3333333333333333,12,0.0,0.0,19,1,1,1.0,0.0,0.5301901940699316
13,15000000.0,independent,True,0.36796536796536794,53,urban,primary,7,2,129.66453614510738,0.5,3.0,15,89517.06089275036,63932.29943276212,0.6,6,0.3333333333333333,0.0,23,1,1,1.0,0.0,0.3447025276155145
14,15000000.0,independent,True,0.36796536796536794,31,urban,primary,4,7,132.23647965537532,0.7142857142857143,2.7142857142857144,16,95097.4777930301,83113.72481739803,0.4375,21,0.14285714285714285,0.0,23,2,2,0.926051540867213,0.0,0.39038232607070683
15,15000000.0,informal,True,0.5281385281385281,39,rural,secondary,1,3,152.45513460385166,0.6666666666666666,1.3333333333333333,14,123485.85296508293,71071.95672030539,0.5,3,0.0,0.0,15,1,1,0.7815264475767154,0.0,0.4768970958722073
16,15000000.0,informal,True,0.4761904761904761,27,urban,secondary,2,4,100.82769170666867,0.25,4.5,13,121518.06960384829,70937.66132668468,0.7692307692307693,21,0.19047619047619047,0.0,23,2,2,0.883355378433244,0.0,0.44879709864067996
17,15000000.0,formal,True,0.23809523809523805,65,urban,primary,6,4,168.03292915638784,0.75,2.5,19,134512.34813697502,73978.06323199111,0.42105263157894735,21,0.23809523809523808,0.0,23,3,3,1.0,0.0,0.32850696270867363
18,15000000.0,formal,True,0.09523809523809522,28,rural,secondary,4,9,168.17931598473922,0.5555555555555556,2.5555555555555554,23,132098.3486326951,59448.67756798815,0.5217391304347826,21,0.2857142857142857,0.0,24,3,3,1.0,0.0,0.31226525659127197
19,15000000.0,informal,True,0.4329004329004328,29,urban,university,1,5,125.94145434959671,0.6,1.8,6,128395.87225917792,71885.36210936931,0.6666666666666666,6,0.3333333333333333,0.0,17,1,1,0.8854321316285367,0.0,0.3422939564242407
20,15000000.0,informal,True,0.4761904761904761,44,urban,secondary,4,7,135.15457506835028,0.5714285714285714,2.2857142857142856,20,109413.72401115016,60425.64536598757,0.5,45,0.044444444444444446,0.0,28,5,5,0.9177559770515418,0.0,0.4637191661360428
21,15000000.0,informal,True,0.5714285714285713,42,rural,primary,3,2,132.4509335642142,0.0,3.0,5,57311.76192529639,54826.13788221842,0.2,9,0.0,0.0,29,2,2,0.845997130730015,0.0,0.5690872345726863
22,15000000.0,independent,True,0.36796536796536794,35,urban,primary,1,2,65.78677498563312,0.5,1.0,18,136695.8803641909,63214.04571518487,0.6666666666666666,3,0.3333333333333333,0.0,16,1,1,0.806668797966771,0.0,0.3447025276155145
23,15000000.0,informal,True,0.5194805194805193,38,urban,primary,2,5,153.21301687516728,0.2,1.8,10,93838.23605106314,57648.021352128744,0.6,6,0.0,0.0,18,1,1,0.8117901694155478,0.0,0.5352011295368345
24,15000000.0,independent,True,0.3246753246753246,34,urban,secondary,7,4,171.7221903762084,0.25,2.5,10,169075.68999399108,55002.40824181047,0.6,12,0.08333333333333333,0.0,18,3,3,0.9707577458919725,0.0,0.4656847817059328
25,15000000.0,informal,True,0.6363636363636364,70,rural,technical,5,5,133.934830438339,0.4,2.2,15,110421.22338747855,55798.79241796338,0.3333333333333333,15,0.0,0.0,27,2,2,0.6565467221888531,0.0,0.5283076326790509
26,15000000.0,independent,True,0.4632034632034631,51,rural,none,1,3,69.65406704971872,0.6666666666666666,3.0,12,83011.35700376447,47160.46615182646,0.5,15,0.0,0.0,26,2,2,0.8258108442727354,0.0,0.4665153234960272
27,15000000.0,informal,True,0.7229437229437229,70,rural,primary,1,4,137.74324758874118,0.5,1.5,16,85219.39265564352,69614.66212800711,0.5,9,0.0,0.0,24,1,1,0.6664076781268171,0.0,0.5293596522798372
28,15000000.0,informal,True,0.6277056277056277,74,urban,secondary,3,5,168.47407230591972,0.4,3.2,9,123217.99377964491,55483.44516304422,0.7777777777777778,9,0.0,0.0,24,2,2,0.7517607616951406,0.0,0.526923396362227
29,15000000.0,independent,True,0.3766233766233765,55,rural,secondary,4,3,130.00742719782318,0.0,3.3333333333333335,22,121875.45819369407,72195.65023626438,0.5909090909090909,12,0.08333333333333333,0.0,25,1,1,1.0,0.0,0.5059660585255115
30,15000000.0,independent,True,0.4848484848484848,65,rural,university,4,7,150.86692546497065,0.5714285714285714,2.0,18,96777.89693259032,65859.86629488433,0.5,15,0.0,0.0,20,2,2,0.9797976756861042,0.0,0.48215719387613853
31,15000000.0,informal,True,0.5194805194805193,24,urban,primary,5,2,49.447510842964576,1.0,3.0,8,157031.9205055211,74588.60457775708,0.5,12,0.16666666666666666,0.0,21,1,1,1.0,0.0,0.3689266631599346
32,15000000.0,informal,True,0.6709956709956709,72,urban,primary,2,10,106.27742835267414,0.8,2.3,10,90745.44984416086,55932.867461896916,0.4,9,0.0,0.0,24,1,0,0.5966388605412916,1.0,0.6745383571883392
