application_id,client_id,apply_date,amount_requested,product_type,decision_score,decision
1,1,2024-07-11,563128.9319606526,nano,0.9928233514082031,approved
4,1,2024-08-23,623356.5271894559,micro,0.8964273501353905,approved
3,1,2024-10-12,812979.1329108395,nano,1.0,approved
2,1,2024-12-22,317907.8492754362,reload,1.0,approved
5,2,2024-01-25,519592.73770790757,nano,0.8894304803551877,approved
6,2,2024-12-20,691302.4046134453,nano,1.0,approved
8,3,2024-05-15,288662.1794606666,micro,1.0,approved
7,3,2024-11-26,652696.1543451726,nano,1.0,approved
9,3,2024-12-09,634489.8657775974,micro,1.0,approved
10,4,2024-06-08,689502.2161320691,nano,1.0,approved
11,5,2024-10-17,726869.6755072542,micro,0.7004742460692691,approved
12,6,2024-10-14,402859.4588383507,micro,1.0,approved
13,7,2024-07-28,620365.1066493434,nano,1.0,approved
14,7,2024-08-19,386628.2557474144,nano,1.0,approved
16,8,2024-01-22,462234.4574634855,micro,0.9428285727091262,approved
15,8,2024-10-26,693337.80506106,micro,0.9404114794582039,approved
18,9,2024-01-09,478753.3110532151,nano,0.8343416502766857,approved
17,9,2024-05-02,500669.4226043138,nano,0.6530915856291766,approved
19,10,2024-03-28,559940.5771435301,nano,0.6313154193218801,approved
20,10,2024-04-20,249195.22678152926,reload,0.7348285602753623,approved
21,11,2024-10-05,433444.82974546595,nano,1.0,approved
22,12,2024-12-19,497276.3630594914,nano,1.0,approved
23,13,2024-07-18,180476.8783942284,micro,1.0,approved
24,14,2024-03-05,482152.435123086,nano,0.852103081734426,approved
25,14,2024-10-14,881788.2358014511,nano,1.0,approved
26,15,2024-01-16,284843.8684539193,reload,0.7815264475767154,approved
28,16,2024-01-09,778579.2610212143,nano,1.0,approved
27,16,2024-04-17,201346.0454219546,micro,0.7667107568664879,approved
31,17,2024-04-20,100000.0,nano,1.0,approved
30,17,2024-05-01,776018.8672207204,nano,1.0,approved
29,17,2024-12-14,405684.4944788881,nano,1.0,approved
33,18,2024-02-21,1005926.9569183149,micro,1.0,approved
32,18,2024-07-21,348985.62417473574,nano,1.0,approved
34,18,2024-07-21,248077.7292877672,nano,1.0,approved
